Before, SNR After,Tap,LR,Exec_secs

-1.091928,10.734883,25000,0.100000,49.084368

-1.091928,10.985113,25000,0.105000,41.780610

-1.091928,11.224997,25000,0.110000,41.886413

-1.091928,11.455232,25000,0.115000,42.624834

-1.091928,11.676431,25000,0.120000,42.674090

-1.091928,11.889129,25000,0.125000,41.052929

-1.091928,12.093785,25000,0.130000,41.595739

-1.091928,12.290782,25000,0.135000,41.309004

-1.091928,12.480426,25000,0.140000,42.614749

-1.091928,-2576.347398,25000,0.145000,41.167524

-1.091928,NaN,25000,0.150000,40.936162

-1.091928,NaN,25000,0.155000,40.994792

-1.091928,NaN,25000,0.160000,41.045301

-1.091928,NaN,25000,0.165000,40.921354

-1.091928,NaN,25000,0.170000,41.007971

-1.091928,NaN,25000,0.175000,41.146596

-1.091928,NaN,25000,0.180000,40.845351

-1.091928,NaN,25000,0.185000,40.911027

-1.091928,NaN,25000,0.190000,41.036116

-1.091928,NaN,25000,0.195000,41.267236

-1.091928,NaN,25000,0.200000,44.089615

-1.091928,NaN,25000,0.205000,55.592431

-1.091928,NaN,25000,0.210000,51.492262

-1.091928,NaN,25000,0.215000,51.727179

-1.091928,NaN,25000,0.220000,51.620553

-1.091928,NaN,25000,0.225000,51.530793

-1.091928,NaN,25000,0.230000,51.597051

-1.091928,NaN,25000,0.235000,51.753100

-1.091928,NaN,25000,0.240000,51.716697

-1.091928,NaN,25000,0.245000,51.811159

-1.091928,NaN,25000,0.250000,51.538042

-1.091928,NaN,25000,0.255000,51.720752

-1.091928,NaN,25000,0.260000,52.309761

-1.091928,NaN,25000,0.265000,53.055966

-1.091928,NaN,25000,0.270000,54.167314

-1.091928,NaN,25000,0.275000,54.419517

-1.091928,NaN,25000,0.280000,54.505710

-1.091928,NaN,25000,0.285000,54.140181

-1.091928,NaN,25000,0.290000,53.998141

-1.091928,NaN,25000,0.295000,54.951761

-1.091928,NaN,25000,0.300000,53.736113

-1.091928,NaN,25000,0.305000,53.953264

-1.091928,NaN,25000,0.310000,53.647848

-1.091928,NaN,25000,0.315000,53.839767

-1.091928,NaN,25000,0.320000,53.859565

-1.091928,NaN,25000,0.325000,53.742326

-1.091928,NaN,25000,0.330000,55.425530

-1.091928,NaN,25000,0.335000,54.477986

-1.091928,NaN,25000,0.340000,55.864529

-1.091928,NaN,25000,0.345000,53.954089

-1.091928,NaN,25000,0.350000,54.011085

-1.091928,NaN,25000,0.355000,51.816680

-1.091928,NaN,25000,0.360000,51.843829

-1.091928,NaN,25000,0.365000,52.413807

-1.091928,NaN,25000,0.370000,52.127596

-1.091928,NaN,25000,0.375000,51.743096

-1.091928,NaN,25000,0.380000,54.187917

-1.091928,NaN,25000,0.385000,51.780734

-1.091928,NaN,25000,0.390000,51.664169

-1.091928,NaN,25000,0.395000,52.871108

-1.091928,NaN,25000,0.400000,52.073964

-1.091928,NaN,25000,0.405000,52.255868

-1.091928,NaN,25000,0.410000,53.092391

-1.091928,NaN,25000,0.415000,52.102236

-1.091928,NaN,25000,0.420000,52.374258

-1.091928,NaN,25000,0.425000,52.242204

-1.091928,NaN,25000,0.430000,52.440690

-1.091928,NaN,25000,0.435000,52.735831

-1.091928,NaN,25000,0.440000,51.468617

-1.091928,NaN,25000,0.445000,51.538113

-1.091928,NaN,25000,0.450000,51.603564

-1.091928,NaN,25000,0.455000,51.607173

-1.091928,NaN,25000,0.460000,51.652037

-1.091928,NaN,25000,0.465000,51.735962

-1.091928,NaN,25000,0.470000,51.573574

-1.091928,NaN,25000,0.475000,51.589969

-1.091928,NaN,25000,0.480000,51.560732

-1.091928,NaN,25000,0.485000,51.621934

-1.091928,NaN,25000,0.490000,51.540849

-1.091928,NaN,25000,0.495000,51.707467

-1.091928,NaN,25000,0.500000,51.630317

