Before, SNR After,Tap,LR,Exec_secs

-2.170616,22.829316,25000,0.100000,34.537140

-2.170616,NaN,25000,0.105000,37.226871

-2.170616,NaN,25000,0.110000,31.983913

-2.170616,NaN,25000,0.115000,32.676040

-2.170616,NaN,25000,0.120000,33.681507

-2.170616,NaN,25000,0.125000,32.686961

-2.170616,NaN,25000,0.130000,31.908219

-2.170616,NaN,25000,0.135000,31.843838

-2.170616,NaN,25000,0.140000,31.768850

-2.170616,NaN,25000,0.145000,32.801113

-2.170616,NaN,25000,0.150000,33.659229

-2.170616,NaN,25000,0.155000,32.474068

-2.170616,NaN,25000,0.160000,32.406584

-2.170616,NaN,25000,0.165000,32.523982

-2.170616,NaN,25000,0.170000,32.301323

-2.170616,NaN,25000,0.175000,32.175940

-2.170616,NaN,25000,0.180000,32.097752

-2.170616,NaN,25000,0.185000,31.902150

-2.170616,NaN,25000,0.190000,32.035354

-2.170616,NaN,25000,0.195000,32.190869

-2.170616,NaN,25000,0.200000,32.058518

-2.170616,NaN,25000,0.205000,32.038957

-2.170616,NaN,25000,0.210000,32.334722

-2.170616,NaN,25000,0.215000,32.435742

-2.170616,NaN,25000,0.220000,32.662577

-2.170616,NaN,25000,0.225000,32.522982

-2.170616,NaN,25000,0.230000,32.037681

-2.170616,NaN,25000,0.235000,32.036997

-2.170616,NaN,25000,0.240000,32.402093

-2.170616,NaN,25000,0.245000,32.081872

-2.170616,NaN,25000,0.250000,32.253668

-2.170616,NaN,25000,0.255000,32.169204

-2.170616,NaN,25000,0.260000,32.324104

-2.170616,NaN,25000,0.265000,32.092580

-2.170616,NaN,25000,0.270000,32.296410

-2.170616,NaN,25000,0.275000,32.190485

-2.170616,NaN,25000,0.280000,46.801027

-2.170616,NaN,25000,0.285000,41.730915

-2.170616,NaN,25000,0.290000,42.304855

-2.170616,NaN,25000,0.295000,42.871884

-2.170616,NaN,25000,0.300000,42.942314

-2.170616,NaN,25000,0.305000,41.848545

-2.170616,NaN,25000,0.310000,41.985828

-2.170616,NaN,25000,0.315000,41.193609

-2.170616,NaN,25000,0.320000,43.089218

-2.170616,NaN,25000,0.325000,41.335374

-2.170616,NaN,25000,0.330000,41.084643

-2.170616,NaN,25000,0.335000,41.246428

-2.170616,NaN,25000,0.340000,41.290060

-2.170616,NaN,25000,0.345000,41.104406

-2.170616,NaN,25000,0.350000,41.137144

-2.170616,NaN,25000,0.355000,41.276221

-2.170616,NaN,25000,0.360000,41.105357

-2.170616,NaN,25000,0.365000,41.078093

-2.170616,NaN,25000,0.370000,41.224687

-2.170616,NaN,25000,0.375000,41.372701

-2.170616,NaN,25000,0.380000,43.131347

-2.170616,NaN,25000,0.385000,57.452862

-2.170616,NaN,25000,0.390000,53.363810

-2.170616,NaN,25000,0.395000,53.058513

-2.170616,NaN,25000,0.400000,53.008263

-2.170616,NaN,25000,0.405000,53.047962

-2.170616,NaN,25000,0.410000,53.091406

-2.170616,NaN,25000,0.415000,53.397686

-2.170616,NaN,25000,0.420000,52.905319

-2.170616,NaN,25000,0.425000,53.113655

-2.170616,NaN,25000,0.430000,53.201842

-2.170616,NaN,25000,0.435000,53.203686

-2.170616,NaN,25000,0.440000,54.825111

-2.170616,NaN,25000,0.445000,55.353093

-2.170616,NaN,25000,0.450000,57.505878

-2.170616,NaN,25000,0.455000,56.966213

-2.170616,NaN,25000,0.460000,57.341574

-2.170616,NaN,25000,0.465000,56.201536

-2.170616,NaN,25000,0.470000,57.406485

-2.170616,NaN,25000,0.475000,56.960377

-2.170616,NaN,25000,0.480000,55.888174

-2.170616,NaN,25000,0.485000,56.673144

-2.170616,NaN,25000,0.490000,56.142024

-2.170616,NaN,25000,0.495000,56.790282

-2.170616,NaN,25000,0.500000,56.355341

-2.170616,NaN,25000,0.505000,57.485621

-2.170616,NaN,25000,0.510000,56.945198

-2.170616,NaN,25000,0.515000,57.462440

-2.170616,NaN,25000,0.520000,57.327235

-2.170616,NaN,25000,0.525000,55.713822

-2.170616,NaN,25000,0.530000,53.351505

-2.170616,NaN,25000,0.535000,53.516766

-2.170616,NaN,25000,0.540000,53.619799

-2.170616,NaN,25000,0.545000,53.386168

-2.170616,NaN,25000,0.550000,53.558698

-2.170616,NaN,25000,0.555000,55.664974

-2.170616,NaN,25000,0.560000,53.145441

-2.170616,NaN,25000,0.565000,53.249985

-2.170616,NaN,25000,0.570000,54.340336

-2.170616,NaN,25000,0.575000,53.458732

-2.170616,NaN,25000,0.580000,53.608682

-2.170616,NaN,25000,0.585000,53.923686

-2.170616,NaN,25000,0.590000,53.305241

-2.170616,NaN,25000,0.595000,53.774090

-2.170616,NaN,25000,0.600000,53.401137

-2.170616,NaN,25000,0.605000,53.371467

-2.170616,NaN,25000,0.610000,53.608786

-2.170616,NaN,25000,0.615000,53.029073

-2.170616,NaN,25000,0.620000,53.116232

-2.170616,NaN,25000,0.625000,53.210597

-2.170616,NaN,25000,0.630000,52.937650

-2.170616,NaN,25000,0.635000,52.778714

-2.170616,NaN,25000,0.640000,53.152052

-2.170616,NaN,25000,0.645000,53.150325

-2.170616,NaN,25000,0.650000,53.062857

-2.170616,NaN,25000,0.655000,53.179725

-2.170616,NaN,25000,0.660000,53.062386

-2.170616,NaN,25000,0.665000,52.925440

-2.170616,NaN,25000,0.670000,53.216395

-2.170616,NaN,25000,0.675000,53.434210

-2.170616,NaN,25000,0.680000,54.490633

-2.170616,NaN,25000,0.685000,53.705923

-2.170616,NaN,25000,0.690000,54.430485

-2.170616,NaN,25000,0.695000,54.016100

-2.170616,NaN,25000,0.700000,53.726948

-2.170616,NaN,25000,0.705000,53.588255

-2.170616,NaN,25000,0.710000,54.604059

-2.170616,NaN,25000,0.715000,54.108867

-2.170616,NaN,25000,0.720000,53.636264

-2.170616,NaN,25000,0.725000,54.272457

-2.170616,NaN,25000,0.730000,53.173394

-2.170616,NaN,25000,0.735000,53.906521

-2.170616,NaN,25000,0.740000,54.193923

-2.170616,NaN,25000,0.745000,54.205620

-2.170616,NaN,25000,0.750000,53.943583

-2.170616,NaN,25000,0.755000,53.512503

-2.170616,NaN,25000,0.760000,53.626587

-2.170616,NaN,25000,0.765000,54.947023

-2.170616,NaN,25000,0.770000,53.888585

-2.170616,NaN,25000,0.775000,54.016342

-2.170616,NaN,25000,0.780000,54.425101

-2.170616,NaN,25000,0.785000,53.755779

-2.170616,NaN,25000,0.790000,54.181879

-2.170616,NaN,25000,0.795000,54.485916

-2.170616,NaN,25000,0.800000,53.685578

-2.170616,NaN,25000,0.805000,54.402603

-2.170616,NaN,25000,0.810000,54.306582

-2.170616,NaN,25000,0.815000,55.383474

-2.170616,NaN,25000,0.820000,53.853465

-2.170616,NaN,25000,0.825000,54.513038

-2.170616,NaN,25000,0.830000,54.146372

-2.170616,NaN,25000,0.835000,54.019579

-2.170616,NaN,25000,0.840000,54.550013

-2.170616,NaN,25000,0.845000,54.853064

-2.170616,NaN,25000,0.850000,53.807729

-2.170616,NaN,25000,0.855000,53.748221

-2.170616,NaN,25000,0.860000,53.904671

-2.170616,NaN,25000,0.865000,54.492536

-2.170616,NaN,25000,0.870000,53.393542

-2.170616,NaN,25000,0.875000,54.431016

-2.170616,NaN,25000,0.880000,53.624938

-2.170616,NaN,25000,0.885000,54.354881

-2.170616,NaN,25000,0.890000,53.662155

-2.170616,NaN,25000,0.895000,53.297218

-2.170616,NaN,25000,0.900000,54.072177

-2.170616,NaN,25000,0.905000,53.758513

-2.170616,NaN,25000,0.910000,53.283225

-2.170616,NaN,25000,0.915000,53.316719

-2.170616,NaN,25000,0.920000,53.414502

-2.170616,NaN,25000,0.925000,54.347935

-2.170616,NaN,25000,0.930000,53.737494

-2.170616,NaN,25000,0.935000,53.274390

-2.170616,NaN,25000,0.940000,53.741854

-2.170616,NaN,25000,0.945000,54.383904

-2.170616,NaN,25000,0.950000,54.101686

-2.170616,NaN,25000,0.955000,53.662943

-2.170616,NaN,25000,0.960000,54.669017

-2.170616,NaN,25000,0.965000,54.253768

-2.170616,NaN,25000,0.970000,53.460661

