Before, SNR After,Tap,LR,Exec_secs

Before, SNR After,Tap,LR,Exec_secs

-5.279199,NaN,25000,0.350000,51.414680

-5.279199,NaN,25000,0.355000,51.341218

-5.279199,NaN,25000,0.360000,51.454260

-5.279199,NaN,25000,0.365000,51.551333

-5.279199,NaN,25000,0.370000,51.334016

-5.279199,NaN,25000,0.375000,51.682721

-5.279199,NaN,25000,0.380000,51.238325

-5.279199,NaN,25000,0.385000,51.351871

-5.279199,NaN,25000,0.390000,50.917729

-5.279199,NaN,25000,0.395000,51.472234

-5.279199,NaN,25000,0.400000,51.285386

-5.279199,NaN,25000,0.405000,52.618299

-5.279199,NaN,25000,0.410000,52.106581

-5.279199,NaN,25000,0.415000,51.890223

-5.279199,NaN,25000,0.420000,52.634842

-5.279199,NaN,25000,0.425000,51.984876

-5.279199,NaN,25000,0.430000,51.954804

-5.279199,NaN,25000,0.435000,51.784100

-5.279199,NaN,25000,0.440000,52.293498

-5.279199,NaN,25000,0.445000,51.263473

-5.279199,NaN,25000,0.450000,51.869412

-5.279199,NaN,25000,0.455000,52.004800

-5.279199,NaN,25000,0.460000,51.822838

-5.279199,NaN,25000,0.465000,52.521722

-5.279199,NaN,25000,0.470000,51.970739

-5.279199,NaN,25000,0.475000,52.534797

-5.279199,NaN,25000,0.480000,51.820498

-5.279199,NaN,25000,0.485000,51.497288

-5.279199,NaN,25000,0.490000,52.119572

-5.279199,NaN,25000,0.495000,52.776006

-5.279199,NaN,25000,0.500000,52.469484

-5.279199,NaN,25000,0.505000,51.641185

-5.279199,NaN,25000,0.510000,51.537307

-5.279199,NaN,25000,0.515000,52.787796

-5.279199,NaN,25000,0.520000,52.327820

-5.279199,NaN,25000,0.525000,52.509743

-5.279199,NaN,25000,0.530000,52.475614

-5.279199,NaN,25000,0.535000,52.561212

-5.279199,NaN,25000,0.540000,51.994728

-5.279199,NaN,25000,0.545000,52.993134

-5.279199,NaN,25000,0.550000,52.242145

-5.279199,NaN,25000,0.555000,51.651270

-5.279199,NaN,25000,0.560000,52.436119

-5.279199,NaN,25000,0.565000,52.548532

